time,value
2026-03-27 22:19:35.783999920,
2026-03-27 22:19:40.783999920,
2026-03-27 22:19:45.783999920,0.2324808064985457
2026-03-27 22:19:50.783999920,0.3334398736980905
2026-03-27 22:19:55.783999920,0.36662088948887867
2026-03-27 22:20:00.783999920,0.388954284659714
2026-03-27 22:20:05.783999920,0.3961429649754535
2026-03-27 22:20:10.783999920,0.39204517628000723
2026-03-27 22:20:15.783999920,0.3981327563793332
2026-03-27 22:20:20.783999920,0.4056970874130015
2026-03-27 22:20:25.783999920,0.40458365365364035
2026-03-27 22:20:30.783999920,0.40970044989843624
2026-03-27 22:20:35.783999920,0.41342749288516734
2026-03-27 22:20:40.783999920,0.425589742778205
2026-03-27 22:20:45.783999920,0.42659151967033254
2026-03-27 22:20:50.783999920,0.42713028791313346
2026-03-27 22:20:55.783999920,0.4245213662082396
2026-03-27 22:21:00.783999920,0.42488930794823515
2026-03-27 22:21:05.783999920,0.4352394482824537
2026-03-27 22:21:10.783999920,0.4362516126109672
2026-03-27 22:21:15.783999920,0.42911120907923084
2026-03-27 22:21:20.783999920,0.44420069522239664
2026-03-27 22:21:25.783999920,0.43683203938168563
2026-03-27 22:21:30.783999920,0.1975423160352205
2026-03-27 22:21:35.783999920,
2026-03-27 22:21:40.783999920,
2026-03-27 22:21:45.783999920,
2026-03-27 22:21:50.783999920,
2026-03-27 22:21:55.783999920,
2026-03-27 22:22:00.783999920,
2026-03-27 22:22:05.783999920,
2026-03-27 22:22:10.783999920,
2026-03-27 22:22:15.783999920,
2026-03-27 22:22:20.783999920,
2026-03-27 22:22:25.783999920,
2026-03-27 22:22:30.783999920,
2026-03-27 22:22:35.783999920,
2026-03-27 22:22:40.783999920,
2026-03-27 22:22:45.783999920,
2026-03-27 22:22:50.783999920,
2026-03-27 22:22:55.783999920,
2026-03-27 22:23:00.783999920,
2026-03-27 22:23:05.783999920,
2026-03-27 22:23:10.783999920,
2026-03-27 22:23:15.783999920,
2026-03-27 22:23:20.783999920,
2026-03-27 22:23:25.783999920,
2026-03-27 22:23:30.783999920,
2026-03-27 22:23:35.783999920,
2026-03-27 22:32:40.783999920,
2026-03-27 22:32:45.783999920,
2026-03-27 22:32:50.783999920,
2026-03-27 22:32:55.783999920,
2026-03-27 22:33:00.783999920,
2026-03-27 22:33:05.783999920,
2026-03-27 22:33:10.783999920,
2026-03-27 22:33:15.783999920,
2026-03-27 22:33:20.783999920,
2026-03-27 22:33:25.783999920,
2026-03-27 22:33:30.783999920,
2026-03-27 22:33:35.783999920,
2026-03-27 22:33:40.783999920,
2026-03-27 22:33:45.783999920,
2026-03-27 22:33:50.783999920,
2026-03-27 22:33:55.783999920,
2026-03-27 22:34:00.783999920,
2026-03-27 22:34:05.783999920,
2026-03-27 22:34:10.783999920,
2026-03-27 22:34:15.783999920,
2026-03-27 22:34:20.783999920,
2026-03-27 22:34:25.783999920,
2026-03-27 22:34:30.783999920,
2026-03-27 22:34:35.783999920,
2026-03-27 22:34:40.783999920,
2026-03-27 22:34:45.783999920,
2026-03-27 22:34:50.783999920,
2026-03-27 22:34:55.783999920,
2026-03-27 22:35:00.783999920,
2026-03-27 22:35:05.783999920,
2026-03-27 22:35:10.783999920,
2026-03-27 22:35:15.783999920,
2026-03-27 22:35:20.783999920,
2026-03-27 22:35:25.783999920,
2026-03-27 22:35:30.783999920,
2026-03-27 22:35:35.783999920,
2026-03-27 22:35:40.783999920,
2026-03-27 22:35:45.783999920,
2026-03-27 22:35:50.783999920,
2026-03-27 22:35:55.783999920,
2026-03-27 22:36:00.783999920,
2026-03-27 22:36:05.783999920,
2026-03-27 22:36:10.783999920,
2026-03-27 22:36:15.783999920,
2026-03-27 22:36:20.783999920,
2026-03-27 22:36:25.783999920,
2026-03-27 22:36:30.783999920,
2026-03-27 22:36:35.783999920,
2026-03-27 22:36:40.783999920,
2026-03-27 22:36:45.783999920,
2026-03-27 22:36:50.783999920,
2026-03-27 22:36:55.783999920,
2026-03-27 22:37:00.783999920,
2026-03-27 22:37:05.783999920,
2026-03-27 22:37:10.783999920,
2026-03-27 22:37:15.783999920,
2026-03-27 22:37:20.783999920,
2026-03-27 22:37:25.783999920,
2026-03-27 22:37:30.783999920,
2026-03-27 22:37:35.783999920,
2026-03-27 22:37:40.783999920,
2026-03-27 22:37:45.783999920,
2026-03-27 22:37:50.783999920,
2026-03-27 22:37:55.783999920,
2026-03-27 22:38:00.783999920,
2026-03-27 22:38:05.783999920,
2026-03-27 22:38:10.783999920,
